time,dim_0,y,x,spatial_ref,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,scl,aot,wvp,geometry,es_incendio
2022-11-29 14:52:04.587,42,6323775.0,300735.0,32719,8624,7940,7244,6966,7207,7164,7173,7248,7198,7347,6134,4936,9,219,790,POINT (300735 6323775),0
2022-11-29 14:52:04.587,43,6326985.0,300345.0,32719,5797,4530,4337,4359,4642,4870,4971,4994,5029,4854,5491,4591,8,224,790,POINT (300345 6326985),0
2022-11-29 14:52:04.587,44,6322335.0,303165.0,32719,4460,3626,3399,3308,3633,3854,3943,4029,3990,5145,3715,3095,9,194,790,POINT (303165 6322335),0
2022-11-29 14:52:04.587,45,6324825.0,303165.0,32719,749,669,835,1189,1461,1722,1937,2143,2256,2438,2739,1780,5,216,757,POINT (303165 6324825),1
2022-11-29 14:52:04.587,46,6323205.0,299625.0,32719,7035,6812,6262,6011,6331,6170,6133,6239,6051,6183,5252,4130,9,217,765,POINT (299625 6323205),1
2022-11-29 14:52:04.587,47,6326085.0,303945.0,32719,966,861,1116,1521,2044,2352,2580,2767,2986,3275,3235,2029,5,229,1114,POINT (303945 6326085),0
2022-11-29 14:52:04.587,48,6324495.0,298425.0,32719,5532,5058,4708,4459,4682,4834,4836,5053,4834,4892,4400,3347,9,220,765,POINT (298425 6324495),0
2022-11-29 14:52:04.587,49,6326505.0,299655.0,32719,6957,6553,6162,5986,6294,6305,6356,6427,6330,5783,6411,5509,9,216,765,POINT (299655 6326505),0
2022-11-29 14:52:04.587,50,6327435.0,304995.0,32719,583,538,677,869,1216,1548,1823,1902,2101,2268,2484,1619,5,226,881,POINT (304995 6327435),0
2022-11-29 14:52:04.587,51,6326745.0,303105.0,32719,907,789,944,1071,1444,2001,2214,2377,2529,2478,2626,1708,5,230,1034,POINT (303105 6326745),0
2022-11-29 14:52:04.587,52,6323055.0,304725.0,32719,748,697,870,1169,1415,1732,1877,2091,2168,2199,2754,1893,5,200,462,POINT (304725 6323055),1
2022-11-29 14:52:04.587,53,6326625.0,299415.0,32719,6533,5912,5577,5441,5714,5780,5801,5768,5821,5319,5782,4923,9,219,765,POINT (299415 6326625),0
2022-11-29 14:52:04.587,54,6324105.0,303435.0,32719,773,683,889,1116,1516,2077,2302,2587,2766,2788,3167,2033,5,213,800,POINT (303435 6324105),0
2022-11-29 14:52:04.587,55,6326205.0,302685.0,32719,832,707,867,1103,1421,1638,1696,1864,1885,2159,3058,2112,5,226,1019,POINT (302685 6326205),1
2022-11-29 14:52:04.587,56,6326085.0,300465.0,32719,1482,1560,2134,2652,3064,3259,3364,3712,3343,2754,4148,2757,5,219,1107,POINT (300465 6326085),1
2022-11-29 14:52:04.587,57,6325695.0,301545.0,32719,2504,2001,2098,2191,2667,3194,3459,3400,3761,3479,3832,2729,5,221,871,POINT (301545 6325695),1
2022-11-29 14:52:04.587,58,6327105.0,298395.0,32719,4706,3837,3644,3589,3834,3995,4115,4163,4253,3977,4183,3183,9,223,765,POINT (298395 6327105),0
2022-11-29 14:52:04.587,59,6324825.0,301275.0,32719,2180,2116,2037,2087,2322,2581,2700,2892,2925,2427,3122,2213,7,223,790,POINT (301275 6324825),1
2022-11-29 14:52:04.587,60,6325575.0,298515.0,32719,8790,7872,7340,7097,7364,7330,7290,7252,7241,7033,6459,5253,9,211,765,POINT (298515 6325575),0
2022-11-29 14:52:04.587,61,6324165.0,304425.0,32719,829,739,914,1250,1542,1894,2070,2274,2358,2502,2639,1746,5,212,650,POINT (304425 6324165),0
2022-11-29 14:52:04.587,62,6327135.0,301995.0,32719,1187,1057,1386,1948,2500,2788,3119,3243,3398,3416,4352,2934,5,232,1178,POINT (301995 6327135),0
2022-11-29 14:52:04.587,63,6327345.0,300045.0,32719,1018,1032,1135,1360,1693,2236,2457,2610,2602,2674,3271,2106,5,231,1049,POINT (300045 6327345),0
2022-11-29 14:52:04.587,64,6326955.0,298035.0,32719,5840,5488,5084,4890,5199,5306,5364,5529,5422,4922,5142,3989,9,223,765,POINT (298035 6326955),0
2022-11-29 14:52:04.587,65,6322395.0,298485.0,32719,7909,7349,6718,6394,6604,6468,6444,6855,6371,7084,5571,4281,9,215,765,POINT (298485 6322395),0
2022-11-29 14:52:04.587,66,6326475.0,305055.0,32719,537,319,464,351,791,1785,2077,2245,2316,2326,1735,983,4,229,986,POINT (305055 6326475),0
2022-11-29 14:52:04.587,67,6323895.0,299535.0,32719,7210,6455,5959,5693,5979,5976,5961,6096,5986,6183,5315,4267,9,219,765,POINT (299535 6323895),1
2022-11-29 14:52:04.587,68,6324585.0,300075.0,32719,1684,1399,1461,1591,2006,2595,2903,3195,3310,2618,3555,2255,5,228,1104,POINT (300075 6324585),1
2022-11-29 14:52:04.587,69,6322785.0,299805.0,32719,8164,7390,6809,6523,6779,6649,6554,6590,6518,7208,5521,4338,9,215,765,POINT (299805 6322785),0
2022-11-29 14:52:04.587,70,6322155.0,299355.0,32719,9191,8774,8162,7884,8164,7974,7842,8058,7708,8253,6457,4976,9,207,765,POINT (299355 6322155),0
2022-11-29 14:52:04.587,71,6322755.0,300915.0,32719,5907,6581,5926,5532,5592,5548,5443,6111,5414,5117,4999,3998,9,215,790,POINT (300915 6322755),0
2022-11-29 14:52:04.587,72,6324735.0,305025.0,32719,579,701,903,1282,1564,2134,2369,2686,2827,2614,2832,1757,5,224,909,POINT (305025 6324735),0
